id,predicted
1921111,42 40 83
1938600,42 40 83
1092411,42 40 83
1379332,42 40 0
1495587,42 40 0
1498511,42 40 0
1032403,42 40 83
1363684,42 40 83
1170644,42 40 83
1990384,42 40 83
1091833,42 40 83
1510900,42 40 83
1871301,42 40 83
1588782,42 40 83
1203320,42 40 0
1925456,42 40 83
1339161,42 40 83
1750753,42 40 0
1078141,42 40 83
1336425,42 40 83
1629966,42 40 83
1320657,42 40 0
1909321,42 40 83
1394838,42 40 83
1531699,42 40 83
1685987,42 40 0
1536419,42 40 83
1360155,42 40 83
1036354,42 40 0
1187466,42 40 0
1727162,42 40 83
1518692,42 40 0
1446077,42 40 83
1080021,42 40 83
1089530,42 40 0
1614073,42 40 83
1196095,42 40 83
1997642,42 40 83
1931806,42 40 83
1018693,42 40 83
1269825,42 40 83
1033944,42 40 83
1029572,42 40 83
1386868,42 40 0
1158259,42 40 0
1838012,42 40 0
1809155,42 40 0
1914517,42 40 83
1456029,42 40 0
1355604,42 40 83
1502087,42 40 83
1094347,42 40 0
1776554,42 40 83
1426037,42 40 83
1934333,42 40 83
1790953,42 40 83
1194469,42 40 0
1718022,42 40 0
1979531,42 40 0
1433037,42 40 83
1593664,42 40 83
1383064,42 40 83
1638830,42 40 83
1948109,42 40 83
1305404,42 40 0
1731101,42 40 0
1303318,42 40 83
1335207,42 40 83
1819737,42 40 83
1394387,42 40 83
1590601,42 40 83
1892172,42 40 0
1294953,42 40 83
1262072,42 40 83
1898399,42 40 0
1927681,42 40 83
1833576,42 40 83
1621903,42 40 83
1443680,42 40 83
1378081,42 40 83
1877255,42 40 35
1776216,42 40 83
1950521,42 40 83
1442046,42 40 83
1341802,42 40 83
1346145,42 40 83
1544510,42 40 0
1087127,42 40 83
1430655,42 40 0
1945569,42 40 83
1374318,42 40 83
1802130,42 40 83
1965360,42 40 0
1416407,42 40 83
1535057,42 40 83
1755868,42 40 83
1902057,42 40 83
1955801,42 40 83
1544638,42 40 0
1771510,42 40 83
1167592,42 40 0
1809129,42 40 83
1656742,42 40 83
1874532,42 40 83
1903948,42 40 0
1767676,42 40 83
1505895,42 40 83
1189030,42 40 83
1561024,42 40 83
1634379,42 40 0
1561969,42 40 83
1967484,42 40 83
1421222,42 40 0
1879140,42 40 35
1508492,42 40 0
1026379,42 40 0
1389154,42 40 0
1533878,42 40 83
1359402,42 40 83
1053469,42 40 83
1338391,42 40 83
1099118,42 40 83
1117721,42 40 0
1320075,42 40 83
1150072,42 40 83
1025420,42 40 83
1216909,42 40 83
1993153,42 40 83
1874472,42 40 0
1048391,42 40 83
1498383,42 40 83
1929090,42 40 83
1813673,42 40 83
1059497,42 40 83
1881210,42 40 83
1838785,42 40 83
1666836,42 40 83
1835711,42 40 83
1015247,42 40 83
1460068,42 40 83
1780636,42 40 83
1890987,42 40 83
1303467,42 40 83
1876483,42 40 83
1962715,42 40 83
1809559,42 40 83
1856687,42 40 83
1254258,42 40 0
1507113,42 40 83
1231619,42 40 83
1674662,42 40 83
1755179,42 40 83
1163166,42 40 83
1920476,42 40 83
1201140,42 40 0
1117712,42 40 83
1596079,42 40 83
1092471,42 40 83
1531329,42 40 83
1416369,42 40 0
1054586,42 40 0
1610103,42 40 83
1028218,42 40 83
1763608,42 40 83
1897920,42 40 0
1530056,42 40 83
1915149,42 40 83
1050761,42 40 83
1283054,42 40 83
1450736,42 40 83
1010959,42 40 83
1011399,42 40 83
1002205,42 40 83
1959852,42 40 83
1687310,42 40 83
1906035,42 40 83
1016113,42 40 83
1135453,42 40 0
1677441,42 40 83
1601589,42 40 0
1831661,42 40 83
1535500,42 40 83
1088992,42 40 83
1818080,42 40 83
1516024,42 40 0
1439183,42 40 0
1174091,42 40 83
1597439,42 40 83
1459834,42 40 0
1875886,42 40 83
1626867,42 40 83
1212165,42 40 83
1584717,42 40 83
1344665,42 40 83
1864210,42 40 83
1922011,42 40 83
1697729,42 40 83
1548631,42 40 0
1159956,42 40 83
1180563,42 40 0
1560080,42 40 83
1144326,42 40 83
1529114,42 40 83
1706321,42 40 83
1914976,42 40 83
1176939,42 40 83
1509700,42 40 35
1484811,42 40 83
1109948,42 40 0
1971165,42 40 83
1911069,42 40 83
1870751,42 40 83
1273039,42 40 83
1534772,42 40 83
1072756,42 40 83
1249759,42 40 35
1056528,42 40 0
1713998,42 40 0
1385293,42 40 83
1198944,42 40 0
1481810,42 40 83
1413661,42 40 0
1848731,42 40 0
1616977,42 40 35
1825176,42 40 0
1991780,42 40 83
1879560,42 40 83
1686123,42 40 83
1692888,42 40 83
1410755,42 40 83
1519215,42 40 83
1205631,42 40 0
1987556,42 40 83
1128061,42 40 0
1218153,42 40 83
1882867,42 40 83
1505241,42 40 83
1105339,42 40 83
1135272,42 40 0
1844094,42 40 83
1412844,42 40 83
1387850,42 40 83
1807948,42 40 83
1474153,42 40 0
1995388,42 40 83
1801412,42 40 83
1423027,42 40 83
1283573,42 40 83
1269908,42 40 0
1476048,42 40 83
1412722,42 40 83
1392826,42 40 83
1056331,42 40 83
1313018,42 40 83
1322487,42 40 0
1322497,42 40 0
1380895,42 40 83
1392837,42 40 0
1464972,42 40 83
1655071,42 40 83
1180965,42 40 83
1692142,42 40 0
1164632,42 40 83
1475816,42 40 0
1546051,42 40 0
1856104,42 40 83
1473501,42 40 83
1540652,42 40 83
1929455,42 40 0
1885776,42 40 0
1168910,42 40 83
1333171,42 40 83
1127894,42 40 0
1705751,42 40 83
1914610,42 40 0
1285070,42 40 83
1963818,42 40 35
1757067,42 40 0
1599479,42 40 0
1736447,42 40 0
1377124,42 40 83
1670236,42 40 83
1390318,42 40 83
1383622,42 40 83
1365109,42 40 83
1174826,42 40 0
1257079,42 40 0
1171670,42 40 83
1242651,42 40 83
1255176,42 40 83
1669803,42 40 0
1215349,42 40 83
1279839,42 40 83
1384735,42 40 0
1582066,42 40 0
1991203,42 40 83
1931786,42 40 0
1163281,42 40 83
1692615,42 40 83
1991086,42 40 83
