id,predicted
1921111,66 31 44
1938600,26 80 25
1092411,29 30 97
1379332,20 93 80
1495587,93 83 67
1498511,93 41 83
1032403,2 80 40
1363684,5 41 98
1170644,102 56 52
1990384,42 40 41
1091833,98 88 67
1510900,41 93 83
1871301,91 54 13
1588782,51 64 82
1203320,86 98 2
1925456,73 98 2
1339161,15 46 33
1750753,72 2 15
1078141,7 86 24
1336425,52 44 31
1629966,15 55 42
1320657,93 44 1
1909321,97 40 58
1394838,102 35 83
1531699,15 16 2
1685987,91 82 88
1536419,94 24 41
1360155,86 88 98
1036354,73 37 79
1187466,78 97 8
1727162,11 75 2
1518692,62 83 56
1446077,93 66 83
1080021,33 2 40
1089530,83 41 56
1614073,97 65 30
1196095,42 12 65
1997642,15 2 50
1931806,79 2 71
1018693,98 24 76
1269825,44 83 93
1033944,93 41 83
1029572,33 71 76
1386868,41 88 83
1158259,12 42 2
1838012,18 19 55
1809155,93 83 41
1914517,40 97 46
1456029,79 71 75
1355604,56 41 57
1502087,41 53 83
1094347,56 88 41
1776554,37 41 39
1426037,41 24 82
1934333,37 74 8
1790953,34 44 1
1194469,75 42 98
1718022,82 95 51
1979531,89 83 65
1433037,62 83 41
1593664,2 76 77
1383064,13 53 91
1638830,41 64 53
1948109,44 34 83
1305404,41 24 83
1731101,64 51 80
1303318,88 89 92
1335207,34 44 57
1819737,1 39 31
1394387,33 42 80
1590601,23 2 35
1892172,83 35 41
1294953,86 98 7
1262072,83 35 41
1898399,83 87 41
1927681,40 42 12
1833576,80 95 35
1621903,25 8 26
1443680,42 97 15
1378081,34 80 93
1877255,15 48 85
1776216,23 2 15
1950521,18 19 17
1442046,39 41 40
1341802,2 14 15
1346145,79 2 71
1544510,63 47 79
1087127,69 42 65
1430655,23 2 80
1945569,42 12 15
1374318,39 45 1
1802130,59 65 58
1965360,98 41 49
1416407,42 12 97
1535057,41 5 89
1755868,64 51 80
1902057,38 97 12
1955801,50 15 16
1544638,20 15 21
1771510,82 64 24
1167592,51 64 86
1809129,13 14 99
1656742,26 25 63
1874532,93 41 83
1903948,86 83 2
1767676,64 51 82
1505895,2 76 97
1189030,51 64 82
1561024,64 80 51
1634379,39 37 93
1561969,86 41 83
1967484,12 42 64
1421222,78 93 44
1879140,73 79 46
1508492,35 82 83
1026379,62 93 83
1389154,41 97 5
1533878,31 1 93
1359402,100 102 1
1053469,45 54 41
1338391,33 2 65
1099118,102 83 80
1117721,95 82 94
1320075,102 100 15
1150072,6 42 2
1025420,93 83 56
1216909,88 95 80
1993153,26 15 98
1874472,34 57 35
1048391,3 53 41
1498383,42 65 67
1929090,79 2 0
1813673,78 74 79
1059497,56 41 94
1881210,97 5 42
1838785,44 93 31
1666836,102 65 88
1835711,99 101 87
1015247,55 15 98
1460068,9 15 42
1780636,81 18 80
1890987,44 1 94
1303467,71 75 2
1876483,100 1 83
1962715,62 93 66
1809559,64 80 51
1856687,65 12 102
1254258,97 0 5
1507113,49 55 30
1231619,62 82 96
1674662,38 94 56
1755179,44 34 1
1163166,49 26 97
1920476,39 37 45
1201140,24 41 5
1117712,32 47 11
1596079,93 83 41
1092471,68 30 6
1531329,58 65 41
1416369,83 35 41
1054586,98 0 67
1610103,96 34 1
1028218,93 44 31
1763608,83 95 88
1897920,22 19 20
1530056,53 54 83
1915149,31 1 94
1050761,20 15 2
1283054,1 44 31
1450736,50 47 10
1010959,41 24 88
1011399,35 83 67
1002205,72 98 2
1959852,2 65 5
1687310,83 35 46
1906035,101 87 53
1016113,91 88 41
1135453,51 64 82
1677441,93 41 83
1601589,87 92 99
1831661,82 94 95
1535500,42 12 40
1088992,37 39 97
1818080,14 88 41
1516024,34 35 83
1439183,62 34 44
1174091,2 42 97
1597439,76 2 98
1459834,1 31 52
1875886,73 79 2
1626867,66 1 31
1212165,43 46 11
1584717,35 38 57
1344665,64 51 80
1864210,41 42 24
1922011,46 88 42
1697729,97 40 0
1548631,49 98 27
1159956,18 17 81
1180563,80 95 94
1560080,27 5 41
1144326,79 71 75
1529114,73 79 76
1706321,18 37 75
1914976,93 41 24
1176939,88 41 3
1509700,0 2 98
1484811,49 97 30
1109948,19 18 15
1971165,97 41 24
1911069,33 42 40
1870751,70 97 85
1273039,51 64 80
1534772,2 42 12
1072756,8 98 65
1249759,63 15 75
1056528,21 20 5
1713998,83 82 93
1385293,9 98 75
1198944,21 20 97
1481810,49 26 30
1413661,95 82 80
1848731,93 41 83
1616977,33 97 15
1825176,89 91 88
1991780,77 2 76
1879560,76 77 2
1686123,42 80 15
1692888,86 24 5
1410755,45 39 42
1519215,75 15 37
1205631,4 79 65
1987556,67 0 7
1128061,40 42 65
1218153,44 34 66
1882867,49 30 55
1505241,43 36 15
1105339,51 64 48
1135272,74 24 86
1844094,57 44 83
1412844,30 97 85
1387850,101 82 95
1807948,42 2 47
1474153,13 87 12
1995388,34 1 44
1801412,86 42 97
1423027,79 75 73
1283573,22 39 38
1269908,47 63 18
1476048,70 12 48
1412722,91 88 42
1392826,96 56 95
1056331,102 101 3
1313018,2 3 43
1322487,100 31 45
1322497,62 83 41
1538646,66 34 0
1632603,91 37 99
1066540,91 13 86
1093839,92 18 15
1739148,85 54 42
1777309,21 50 19
1655149,73 79 2
1464341,97 0 41
1745654,49 86 97
1649874,93 83 38
1095908,86 98 24
1602056,56 88 57
1232095,18 81 55
1941722,5 41 98
1667851,35 83 88
1344269,15 93 2
1665940,63 47 19
1468544,83 93 35
1832901,12 42 50
1873493,3 97 41
1721412,79 2 33
1015527,97 30 2
1096265,59 65 2
1339795,98 86 24
1642518,4 79 71
1084258,91 88 89
1927782,18 71 73
1370575,91 89 13
1203914,97 2 24
1885176,6 2 15
1899948,39 93 56
1457245,41 24 56
1106550,23 93 2
1970112,18 49 81
1681138,2 80 15
1904021,12 42 36
1975494,6 97 40
1964698,86 98 97
1957222,35 83 95
1001553,6 68 0
1045879,50 55 15
1129749,65 58 83
1040640,2 80 0
1416012,102 101 52
1066056,93 41 83
1565613,56 57 3
1106611,42 35 83
1242659,100 1 33
1241743,70 12 97
1692299,13 10 2
1185245,6 86 98
1488045,11 43 9
1259529,56 41 57
1304667,40 97 39
1130302,97 40 46
1156039,26 80 64
1749391,73 79 47
1102713,51 64 82
1383338,56 57 41
1641016,62 83 35
1988814,38 94 57
1329925,53 41 89
1040914,24 37 2
1343981,93 41 83
1401587,75 97 33
1142882,29 78 71
1949610,83 93 1
1478295,29 68 47
1383307,37 39 97
1539410,91 89 54
1873540,64 82 95
1106784,89 53 83
1386326,75 97 8
1648539,75 79 98
1610938,2 80 15
1293161,30 68 49
1101680,59 65 58
1769869,6 98 24
1097693,65 83 80
1608695,40 47 83
1188229,45 41 5
1537985,45 17 52
1460493,21 97 38
1770085,46 40 2
1133990,37 2 74
1346987,49 68 2
1049980,82 80 83
1895419,71 79 33
1023008,71 4 2
1653799,83 67 35
1710250,97 30 40
1388784,42 88 83
1280099,58 65 41
1261219,64 51 80
1613132,3 86 65
1057334,30 97 32
1287596,2 0 15
1383490,93 83 41
1017775,91 89 88
1055405,52 38 96
1881267,53 41 54
1872753,2 60 11
1547228,37 86 24
1724773,83 35 2
1968966,14 80 88
1527011,41 5 24
1284077,35 83 56
1628066,8 97 73
1688791,42 85 83
1357334,88 89 97
1072373,2 80 15
1890469,70 85 65
1458638,1 31 66
1815276,93 41 83
1837495,43 12 36
1064891,64 51 83
1704308,7 98 86
1296629,56 57 3
1276780,40 42 88
1319422,64 51 42
1647737,64 99 51
1504306,21 39 20
1074877,2 76 59
1592725,4 71 80
1700467,25 26 97
1344848,73 79 2
1701403,97 40 5
1651855,47 63 97
1162035,96 80 44
1661721,5 41 0
1904187,54 91 12
1981604,1 93 66
1796436,98 97 24
1249123,35 83 41
1224828,7 15 46
1694229,33 15 2
1793710,3 97 65
1330218,41 24 89
1551411,2 80 83
1165682,56 88 83
1862079,42 46 40
1839069,88 80 2
1333089,16 1 83
1563216,15 48 2
1331899,12 15 22
1626943,80 95 41
1408756,76 73 79
1753028,93 83 44
1624597,41 83 24
1461220,64 80 44
1121244,93 83 66
1317194,56 57 35
1842925,85 83 35
1137958,35 83 34
1370680,49 30 55
1659976,72 7 86
1619686,93 41 83
1778739,97 65 86
1948286,24 41 89
1609092,65 58 67
1975618,20 21 5
1539650,48 85 12
1901656,51 42 64
1386399,2 0 5
1852352,66 81 1
1138449,64 51 80
1373969,8 67 97
1938483,30 97 60
1213439,0 98 86
1146577,47 75 63
1154990,12 42 15
1611748,61 42 40
1068603,2 47 0
1500121,58 65 41
1877926,83 35 41
1151461,3 35 56
1828317,26 24 0
1498388,9 98 94
1372993,12 17 15
1335261,56 88 57
1379866,83 82 35
1982575,15 2 50
1317496,34 1 66
1470862,1 97 65
1020512,49 85 32
1470477,66 31 1
1454131,37 86 88
1134937,9 15 97
1372736,94 82 95
1831306,83 35 41
1230635,18 71 73
1707718,86 98 15
1843991,89 88 3
1955191,96 80 82
1958292,65 86 98
