id,predicted
1921111,66 31 44
1938600,26 80 71
1092411,29 30 97
1379332,20 65 3
1495587,93 83 35
1498511,93 66 83
1032403,2 80 40
1363684,5 41 24
1170644,102 56 52
1990384,42 40 0
1091833,98 88 65
1510900,41 93 24
1871301,91 13 54
1588782,51 64 82
1203320,86 65 41
1925456,73 98 97
1339161,33 15 46
1750753,72 46 0
1078141,7 24 67
1336425,52 45 44
1629966,15 55 47
1320657,93 66 1
1909321,97 40 46
1394838,102 94 65
1531699,15 2 16
1685987,91 88 85
1536419,94 24 41
1360155,86 33 97
1036354,73 79 76
1187466,78 37 65
1727162,11 47 9
1518692,62 83 35
1446077,93 66 83
1080021,33 32 2
1089530,83 35 41
1614073,97 65 7
1196095,42 7 12
1997642,15 2 101
1931806,79 71 75
1018693,98 24 76
1269825,44 83 93
1033944,93 66 83
1029572,33 71 73
1386868,41 88 24
1158259,12 42 36
1838012,18 19 17
1809155,93 41 83
1914517,40 46 97
1456029,79 75 71
1355604,56 57 41
1502087,41 83 53
1094347,88 56 95
1776554,37 41 54
1426037,41 24 83
1934333,37 74 97
1790953,34 44 65
1194469,75 71 2
1718022,82 95 64
1979531,89 83 97
1433037,62 83 41
1593664,2 76 77
1383064,91 53 89
1638830,41 64 53
1948109,44 93 35
1305404,41 24 56
1731101,64 51 80
1303318,88 3 89
1335207,34 44 0
1819737,1 66 31
1394387,33 42 32
1590601,23 2 80
1892172,83 41 35
1294953,86 98 24
1262072,83 35 93
1898399,87 92 89
1927681,40 61 42
1833576,80 95 99
1621903,25 26 8
1443680,42 97 12
1378081,34 80 93
1877255,15 88 85
1776216,23 2 15
1950521,18 20 94
1442046,39 45 40
1341802,14 2 80
1346145,79 71 78
1544510,63 47 79
1087127,69 2 94
1430655,23 20 50
1945569,12 42 15
1374318,39 45 41
1802130,59 58 65
1965360,98 97 5
1416407,42 12 97
1535057,41 89 88
1755868,51 64 80
1902057,38 12 39
1955801,50 63 16
1544638,20 21 19
1771510,24 41 64
1167592,51 64 82
1809129,13 92 99
1656742,26 25 63
1874532,93 41 83
1903948,86 65 88
1767676,64 51 99
1505895,2 59 75
1189030,51 64 82
1561024,64 51 80
1634379,39 37 93
1561969,86 41 97
1967484,12 42 46
1421222,78 74 44
1879140,73 5 2
1508492,35 83 51
1026379,62 93 96
1389154,39 37 38
1533878,31 1 45
1359402,100 94 31
1053469,45 41 37
1338391,33 65 2
1099118,102 41 38
1117721,95 82 94
1320075,102 99 101
1150072,6 42 67
1025420,93 83 56
1216909,95 80 88
1993153,26 49 98
1874472,34 57 35
1048391,3 57 53
1498383,67 24 65
1929090,79 2 75
1813673,78 65 2
1059497,56 41 95
1881210,97 98 86
1838785,93 44 31
1666836,102 94 54
1835711,99 49 87
1015247,55 98 2
1460068,9 15 46
1780636,81 33 18
1890987,44 1 94
1303467,71 33 75
1876483,100 1 53
1962715,62 93 83
1809559,64 51 80
1856687,65 88 102
1254258,97 0 5
1507113,49 30 4
1231619,62 96 82
1674662,38 57 95
1755179,44 1 34
1163166,49 33 97
1920476,39 37 45
1201140,41 24 5
1117712,32 47 11
1596079,93 41 83
1092471,68 6 79
1531329,65 58 41
1416369,83 35 89
1054586,98 0 46
1610103,96 52 102
1028218,93 66 31
1763608,83 35 57
1897920,22 19 21
1530056,54 53 41
1915149,31 1 94
1050761,20 93 2
1283054,1 31 52
1450736,50 47 40
1010959,41 24 93
1011399,35 83 67
1002205,72 7 98
1959852,14 65 16
1687310,83 65 67
1906035,101 40 87
1016113,91 88 89
1135453,51 64 80
1677441,93 41 83
1601589,87 101 92
1831661,82 95 80
1535500,42 12 40
1088992,37 88 92
1818080,14 10 41
1516024,34 35 2
1439183,62 44 31
1174091,2 67 65
1597439,76 77 47
1459834,1 31 96
1875886,73 79 2
1626867,66 1 31
1212165,43 11 46
1584717,35 83 56
1344665,64 51 80
1864210,41 42 83
1922011,46 88 42
1697729,97 5 6
1548631,49 27 68
1159956,18 23 17
1180563,95 80 31
1560080,27 5 91
1144326,79 71 75
1529114,73 71 79
1706321,18 63 47
1914976,93 37 24
1176939,88 3 41
1509700,0 98 67
1484811,49 27 97
1109948,19 20 97
1971165,97 41 0
1911069,33 42 40
1870751,70 64 29
1273039,51 64 87
1534772,2 23 42
1072756,8 98 24
1249759,63 40 79
1056528,21 20 16
1713998,24 94 83
1385293,9 98 33
1198944,21 20 15
1481810,49 30 97
1413661,95 82 80
1848731,93 41 83
1616977,33 95 24
1825176,91 89 88
1991780,77 98 2
1879560,76 71 73
1686123,42 94 80
1692888,86 74 98
1410755,45 39 54
1519215,75 79 71
1205631,4 65 3
1987556,67 0 7
1128061,40 46 42
1218153,44 34 66
1882867,49 101 74
1505241,43 48 36
1105339,51 64 12
1135272,24 74 37
1844094,44 57 41
1412844,30 97 73
1387850,101 82 95
1807948,2 12 42
1474153,13 87 12
1995388,34 44 66
1801412,42 40 6
1423027,79 75 15
1283573,22 39 38
1269908,47 37 97
1476048,70 64 48
1412722,91 88 42
1392826,96 62 95
1056331,102 3 56
1313018,2 69 97
1322487,100 31 96
1322497,62 83 93
1538646,66 34 44
1632603,91 37 8
1066540,91 88 89
1093839,92 18 17
1739148,85 97 54
1777309,21 20 50
1655149,73 2 40
1464341,97 0 67
1745654,49 5 97
1649874,93 83 66
1095908,86 24 41
1602056,56 57 88
1232095,18 81 6
1941722,5 24 97
1667851,35 83 88
1344269,15 16 66
1665940,63 47 39
1468544,35 83 93
1832901,12 42 50
1873493,3 97 36
1721412,79 2 33
1015527,97 24 0
1096265,59 65 58
1339795,98 65 86
1642518,4 39 2
1084258,91 88 65
1927782,18 73 20
1370575,91 99 54
1203914,97 6 40
1885176,6 2 75
1899948,39 78 93
1457245,41 24 56
1106550,23 2 93
1970112,18 49 27
1681138,2 40 1
1904021,12 88 24
1975494,6 97 33
1964698,86 67 97
1957222,35 80 83
1001553,6 0 68
1045879,50 16 15
1129749,65 58 93
1040640,2 65 0
1416012,102 1 52
1066056,93 41 83
1565613,56 57 3
1106611,42 56 35
1242659,100 88 1
1241743,70 50 64
1692299,13 87 88
1185245,6 46 97
1488045,11 46 40
1259529,56 57 41
1304667,40 97 39
1130302,97 68 40
1156039,26 80 64
1749391,73 79 2
1102713,64 51 82
1383338,56 57 88
1641016,62 53 83
1988814,38 57 56
1329925,53 89 92
1040914,86 24 2
1343981,93 41 62
1401587,75 79 71
1142882,29 78 79
1949610,83 97 93
1478295,29 68 60
1383307,37 39 97
1539410,91 89 54
1873540,51 95 82
1106784,89 42 88
1386326,75 42 0
1648539,75 79 4
1610938,2 1 31
1293161,30 4 33
1101680,59 58 65
1769869,6 97 86
1097693,65 89 83
1608695,40 83 47
1188229,45 38 41
1537985,45 39 1
1460493,21 20 15
1770085,46 40 97
1133990,37 74 24
1346987,49 30 1
1049980,82 80 83
1895419,71 33 75
1023008,71 4 75
1653799,83 35 67
1710250,97 0 65
1388784,42 88 24
1280099,58 65 41
1261219,64 82 80
1613132,3 97 46
1057334,30 3 46
1287596,2 60 76
1383490,93 83 41
1017775,91 54 88
1055405,52 94 1
1881267,53 41 54
1872753,2 33 46
1547228,37 88 86
1724773,83 35 65
1968966,14 80 88
1527011,41 2 24
1284077,35 83 56
1628066,8 97 15
1688791,42 40 2
1357334,88 87 97
1072373,15 2 80
1890469,70 64 48
1458638,1 31 66
1815276,93 41 83
1837495,43 12 65
1064891,51 64 35
1704308,7 97 24
1296629,56 57 3
1276780,40 42 2
1319422,64 51 2
1647737,64 99 51
1504306,21 20 39
1074877,2 59 76
1592725,4 71 80
1700467,25 26 97
1344848,73 79 2
1701403,5 97 40
1651855,47 1 46
1162035,96 80 35
1661721,5 0 97
1904187,54 91 65
1981604,1 66 44
1796436,98 24 5
1249123,35 83 88
1224828,7 86 97
1694229,33 2 4
1793710,3 97 65
1330218,41 95 24
1551411,2 83 80
1165682,56 88 57
1862079,42 61 40
1839069,88 80 95
1333089,16 93 1
1563216,15 46 40
1331899,75 47 42
1626943,80 24 95
1408756,76 73 5
1753028,93 66 83
1624597,41 24 95
1461220,64 80 94
1121244,93 66 41
1317194,57 83 35
1842925,85 56 35
1137958,35 83 65
1370680,49 30 97
1659976,72 7 33
1619686,93 41 83
1778739,97 65 86
1948286,24 41 82
1609092,65 58 24
1975618,20 21 37
1539650,48 15 12
1901656,51 42 64
1386399,2 0 5
1852352,66 1 45
1138449,64 51 80
1373969,8 97 0
1938483,30 97 60
1213439,0 98 97
1146577,47 20 63
1154990,12 42 10
1611748,61 42 40
1068603,2 47 74
1500121,65 58 59
1877926,83 35 41
1151461,3 35 97
1828317,24 26 2
1498388,9 98 76
1372993,12 17 42
1335261,56 88 57
1379866,83 35 57
1982575,15 36 2
1317496,34 44 1
1470862,1 97 7
1020512,49 76 65
1470477,66 38 83
1454131,37 41 24
1134937,9 97 77
1372736,94 82 88
1831306,83 35 56
1230635,18 71 73
1707718,86 5 2
1843991,88 3 89
1955191,80 96 83
1958292,98 5 86
1345518,93 83 57
1212740,57 56 3
1006697,58 65 59
1194853,47 46 97
1214814,51 64 82
1397073,38 97 41
1027186,81 42 40
1867938,98 3 24
1640988,83 80 2
1845214,35 83 56
1380280,102 54 65
1973244,34 66 44
1018739,65 58 24
1727939,42 88 86
1007674,38 57 97
1211601,82 95 64
1747757,88 65 24
1190548,2 80 46
1254242,18 94 99
1263432,53 54 89
1744094,70 5 64
1669339,97 5 41
1803461,74 24 5
1814894,75 79 71
1610981,8 50 97
1335167,66 1 31
1657713,51 64 82
1344168,39 1 22
1071940,48 15 11
1991028,95 101 80
1230908,61 42 36
1313478,94 80 24
1038780,40 42 65
1616520,27 26 80
1783935,65 58 88
1014671,36 10 85
1438715,61 40 42
1240735,6 2 8
1215417,10 64 65
1765413,42 12 9
1496235,87 92 101
1390737,98 68 30
