id,predicted
1921111,66 44 31
1938600,26 25 80
1092411,29 24 30
1379332,20 71 39
1495587,93 41 56
1498511,93 83 38
1032403,2 80 46
1363684,5 24 41
1170644,102 101 64
1990384,42 2 64
1091833,98 67 24
1510900,93 41 24
1871301,91 53 54
1588782,51 64 58
1203320,3 86 64
1925456,76 68 97
1339161,33 75 11
1750753,72 46 9
1078141,7 86 97
1336425,52 45 31
1629966,15 16 26
1320657,93 66 1
1909321,97 40 42
1394838,102 83 52
1531699,15 16 2
1685987,91 54 41
1536419,94 24 26
1360155,86 33 24
1036354,73 79 74
1187466,78 65 8
1727162,11 9 15
1518692,62 83 35
1446077,93 83 31
1080021,33 80 2
1089530,83 41 35
1614073,97 30 44
1196095,42 12 7
1997642,15 16 0
1931806,79 71 74
1018693,24 97 86
1269825,44 41 24
1033944,93 41 31
1029572,33 71 76
1386868,41 83 56
1158259,12 94 55
1838012,18 11 19
1809155,93 56 41
1914517,40 46 42
1456029,79 75 71
1355604,56 41 93
1502087,41 93 89
1094347,95 56 89
1776554,37 41 39
1426037,41 24 82
1934333,37 8 41
1790953,34 66 83
1194469,75 79 71
1718022,82 95 51
1979531,89 41 51
1433037,62 93 83
1593664,76 2 80
1383064,53 41 91
1638830,41 53 51
1948109,44 35 65
1305404,41 24 89
1731101,64 51 80
1303318,88 89 98
1335207,34 66 44
1819737,39 41 66
1394387,33 32 80
1590601,23 2 93
1892172,83 35 17
1294953,86 15 2
1262072,83 35 62
1898399,83 89 53
1927681,40 64 15
1833576,80 82 95
1621903,25 8 2
1443680,97 42 12
1378081,34 80 82
1877255,15 37 87
1776216,23 2 15
1950521,18 20 1
1442046,39 45 40
1341802,14 2 87
1346145,79 71 33
1544510,63 47 79
1087127,69 3 65
1430655,23 15 20
1945569,12 42 36
1374318,39 45 44
1802130,59 65 58
1965360,98 5 49
1416407,42 97 12
1535057,41 24 89
1755868,64 51 99
1902057,38 2 41
1955801,50 42 60
1544638,20 21 97
1771510,64 82 94
1167592,51 64 95
1809129,13 14 92
1656742,26 63 25
1874532,93 41 83
1903948,86 5 35
1767676,64 51 82
1505895,2 59 73
1189030,51 64 82
1561024,64 51 99
1634379,39 37 93
1561969,86 41 97
1967484,12 42 7
1421222,78 71 73
1879140,73 2 79
1508492,51 83 35
1026379,62 96 52
1389154,5 41 65
1533878,31 45 1
1359402,100 94 54
1053469,45 41 97
1338391,33 98 2
1099118,102 83 99
1117721,82 95 80
1320075,102 99 83
1150072,6 97 42
1025420,93 83 56
1216909,94 95 88
1993153,26 98 49
1874472,34 35 57
1048391,3 57 41
1498383,65 97 58
1929090,79 71 75
1813673,78 77 76
1059497,56 65 80
1881210,97 5 98
1838785,93 65 44
1666836,102 88 65
1835711,99 64 88
1015247,55 15 97
1460068,9 31 71
1780636,81 63 25
1890987,44 66 1
1303467,71 33 68
1876483,100 64 31
1962715,62 65 58
1809559,64 80 51
1856687,65 94 64
1254258,97 0 65
1507113,49 30 24
1231619,62 41 96
1674662,38 57 94
1755179,44 34 1
1163166,49 99 26
1920476,39 37 92
1201140,24 41 5
1117712,32 47 11
1596079,93 41 56
1092471,68 30 6
1531329,65 58 67
1416369,83 35 56
1054586,98 46 24
1610103,96 95 51
1028218,93 31 66
1763608,83 57 95
1897920,22 15 63
1530056,53 54 41
1915149,31 1 94
1050761,20 93 15
1283054,1 100 31
1450736,50 47 46
1010959,41 24 93
1011399,83 35 67
1002205,72 77 65
1959852,16 15 50
1687310,83 65 67
1906035,101 99 13
1016113,91 54 89
1135453,51 64 58
1677441,93 83 38
1601589,87 92 64
1831661,95 82 94
1535500,42 12 40
1088992,37 24 39
1818080,14 41 88
1516024,34 65 83
1439183,62 44 45
1174091,2 94 26
1597439,76 2 47
1459834,1 31 80
1875886,73 79 2
1626867,66 1 31
1212165,43 36 11
1584717,35 56 57
1344665,51 64 80
1864210,41 24 83
1922011,46 11 9
1697729,97 5 41
1548631,49 30 27
1159956,18 81 21
1180563,80 64 95
1560080,27 84 65
1144326,79 75 71
1529114,73 76 79
1706321,18 20 15
1914976,93 41 24
1176939,41 89 88
1509700,0 46 78
1484811,49 27 5
1109948,19 20 97
1971165,97 5 2
1911069,33 42 52
1870751,70 12 43
1273039,64 51 95
1534772,2 60 12
1072756,8 86 97
1249759,63 1 5
1056528,21 97 20
