id,predicted
1462814,38 57 95
1916861,39 37 41
1021629,100 1 31
1166462,92 87 88
1976210,102 2 88
1100342,52 31 45
1545983,41 56 24
1344047,79 2 71
1962335,91 88 89
1486671,99 102 51
1222720,95 38 83
1156215,38 94 35
1535469,38 0 44
1309227,65 58 24
1532314,91 88 64
1420794,50 2 12
1798675,2 51 59
1309736,57 3 93
1433034,91 40 88
1744408,50 15 9
1344783,38 94 2
1708520,37 24 41
1010970,86 98 0
1582979,60 2 35
1656502,58 65 44
1131420,51 64 80
1505752,25 78 97
1487513,87 64 5
1258607,80 2 83
1567792,78 44 47
1275117,67 0 24
1003675,39 80 17
1506633,41 83 93
1887213,42 12 61
1796002,55 97 54
1311690,7 86 5
1787475,93 41 83
1613986,4 76 59
1536170,64 51 95
1562231,57 96 44
1319105,71 4 2
1719178,0 98 2
1782887,97 33 30
1277477,65 59 58
1596631,99 64 51
1744056,87 88 2
1427302,2 40 97
1354904,98 97 88
1113850,100 52 1
1058171,102 83 23
1457202,2 0 24
1202270,2 40 97
1095114,36 46 3
1777361,44 35 83
1493499,57 56 95
1006670,100 35 83
1025694,0 2 80
1786958,35 83 80
1816185,34 43 65
1186287,14 88 42
1651543,53 41 50
1702219,15 16 37
1999638,42 12 40
1664829,89 88 83
1798192,49 76 2
1856904,94 83 95
1944098,102 100 3
1504883,83 41 1
1098360,50 41 49
1080755,86 2 98
1646880,1 55 94
1033272,32 41 19
1586595,3 35 89
1438970,34 44 66
1493557,75 76 98
1518190,97 74 2
1037361,75 73 76
1560597,94 95 41
1183588,93 39 66
1717088,37 89 24
1764615,83 35 41
1543300,51 95 64
1465671,52 10 40
1942098,88 94 78
1692572,49 97 40
1093996,49 30 15
1277025,4 33 86
1366170,80 97 95
1502592,24 97 41
1213999,56 57 3
1169336,101 102 0
1172419,86 5 24
1649809,93 41 89
1180161,54 53 83
1417726,97 40 0
1235156,19 20 93
1202658,43 0 98
1591708,94 82 80
1671875,95 94 41
1646378,51 64 80
1801632,12 39 42
1646225,83 88 64
1479438,3 65 97
1926399,57 35 88
1796155,51 64 80
1417818,1 31 44
1579419,48 40 2
1665663,79 2 73
1251602,97 24 2
1846302,56 57 93
1234635,20 16 44
1379887,21 97 39
1797404,38 24 97
1136605,18 15 66
1740461,32 30 9
1077970,41 5 24
1764096,79 75 71
1589790,25 76 3
1653587,18 55 63
1926572,42 30 73
1557438,82 64 95
1492632,7 86 24
1030648,35 83 41
1486931,33 46 15
1537541,40 33 46
1391778,49 76 97
1910459,2 76 0
1431267,40 97 42
1277984,20 21 40
1136971,24 8 67
1496486,91 13 54
1351014,101 44 99
1403317,1 45 66
1630076,42 40 88
1712972,53 54 41
1456893,18 42 71
1525105,41 88 83
1572155,10 36 78
1371124,98 9 43
1319170,51 64 82
1558337,51 64 82
1219341,41 88 65
1403378,2 79 3
1885121,15 0 10
1218256,98 86 24
1191228,58 65 44
1823941,102 52 65
1909862,86 98 97
1368656,41 51 54
1949153,91 64 98
1719220,88 35 57
1667594,37 79 2
1690168,21 97 20
1766457,102 88 83
1163028,94 2 97
1903074,23 2 64
1909908,93 83 67
1063521,49 97 76
1115772,0 67 44
1368592,93 66 31
1665020,88 83 41
1927019,74 41 24
1369925,48 46 40
1139847,35 93 83
1340464,93 66 34
1116789,11 40 36
1176707,38 95 83
1874962,93 41 2
1033406,101 91 42
1525178,51 64 95
1534015,23 2 15
1012358,44 34 66
1261835,41 24 93
1954769,91 24 65
1261354,86 8 98
1501740,20 39 83
1107289,51 64 54
1145973,78 76 71
1505760,44 34 0
1365008,83 35 67
1474214,38 94 24
1210104,2 80 83
1051050,83 41 35
1775904,93 83 41
1276161,49 97 55
1685230,66 1 31
1590608,4 30 33
1537317,55 18 32
1314774,57 56 3
1049672,94 38 12
1754025,18 81 15
1533572,55 45 15
1030502,23 41 2
1993111,93 45 41
1945602,86 98 3
1526427,1 45 31
1761415,64 51 95
1491087,94 95 82
1565750,50 20 42
1984968,39 37 93
1255987,40 97 30
1807483,94 82 95
1213803,101 64 87
1119595,89 41 88
1964641,2 42 71
1392179,83 67 35
1223039,97 0 67
1007872,42 12 40
1604738,62 42 40
1786146,86 67 0
1014201,29 46 23
1544273,64 51 82
1037606,82 95 41
1476551,15 48 41
1307246,64 54 85
1076442,49 97 86
1947766,6 68 2
1794858,71 33 4
1158772,58 65 41
1885124,29 2 46
1555003,15 44 65
1298417,51 64 82
1337666,78 44 83
1001376,24 5 86
1274524,47 85 55
1121123,64 51 80
1566900,93 41 54
1391649,23 1 2
1648149,56 51 94
1296066,81 80 31
1395189,41 24 88
1591880,35 83 93
1197801,20 97 15
1183459,19 97 39
1931984,12 42 36
1572353,39 5 1
1091836,18 20 71
1643952,41 93 83
1782839,80 2 93
1817300,50 64 12
1268493,37 86 39
1144468,92 87 40
1901478,23 2 41
1257169,23 2 41
1211919,88 42 73
1257728,13 64 51
1781909,4 2 71
1538833,93 41 24
1675508,101 53 99
1562254,52 45 2
1158724,101 3 80
1342405,93 41 83
1467380,96 56 35
1339389,102 52 0
1372772,24 41 67
1531892,102 23 99
1971455,10 43 41
1559288,49 30 2
1486512,39 97 88
1627438,24 67 2
1609977,38 88 94
1626715,78 76 71
1728243,97 6 30
1151316,12 85 39
1990096,13 40 97
1648869,0 9 2
1459155,80 95 82
1580783,73 76 35
1137572,63 2 0
1128527,50 12 15
1178093,0 52 97
1285874,35 42 51
1496873,83 42 65
1154267,83 35 93
1536334,66 94 44
1188408,91 88 89
1658850,41 24 5
1212500,40 46 97
1198271,0 41 88
1198338,97 7 6
1958648,96 88 80
1998231,66 31 44
1181907,49 76 2
1332796,56 83 64
1172312,47 68 85
1021004,5 7 24
1749172,52 1 31
1991472,78 74 2
1720792,72 71 4
1353103,80 64 2
1116930,42 15 97
1922463,61 40 42
1144698,94 12 31
1935442,65 58 46
1438259,78 67 71
1132001,97 5 42
1319688,88 94 95
1851718,37 97 88
1629957,34 44 66
1724543,26 84 94
1069680,53 89 41
1998674,88 83 89
1366389,97 24 41
1988912,80 64 35
1060324,30 4 37
1729766,56 3 57
1761757,35 83 67
1119753,37 88 41
1881047,21 97 20
1441140,18 50 83
1337609,95 80 82
1312981,48 12 16
1362142,2 80 88
1643178,10 12 15
1291399,101 35 87
1386158,12 36 42
1403865,69 3 64
1985343,18 19 15
1566905,86 98 97
1362107,49 33 97
1763273,17 39 1
1317710,55 97 1
1290360,37 24 88
1262205,59 65 58
1653427,93 83 41
1847965,49 30 97
1779372,53 88 89
1795718,81 94 63
1749368,5 65 47
1258978,10 97 46
1992414,60 2 65
1690406,74 24 5
1109448,87 80 95
1134654,1 31 66
1469471,100 83 35
1068735,86 15 24
1721651,61 40 46
1537457,93 83 41
1554114,18 41 15
1806090,52 66 99
1025574,2 0 71
1672612,9 32 49
1917206,78 97 42
1074499,48 42 12
1784582,10 97 41
1125012,93 41 83
1013480,5 1 41
1202518,5 93 1
1083085,80 95 82
1857536,79 2 75
1836539,59 46 65
1196745,36 46 43
1222264,38 57 3
1067227,91 54 86
1569657,35 83 88
1644075,93 83 41
1017976,97 98 0
1953684,97 15 48
1976547,6 86 98
1391835,3 41 86
1259690,53 54 91
1042330,102 83 88
1890081,77 76 2
1859223,93 41 83
1728134,2 47 59
1260303,39 1 45
1932600,63 2 1
1854223,69 3 64
1943218,92 101 48
1449498,24 41 5
1678476,27 26 44
1284371,79 2 33
1391745,83 35 41
1435604,8 97 86
1251959,23 2 35
1317777,35 83 56
1115197,30 39 97
1901173,63 100 18
1926195,2 47 49
1876365,24 41 5
1271006,34 57 83
1745408,66 44 31
1239956,38 80 23
1632002,93 41 83
1930222,26 97 25
1784382,98 97 0
1970028,45 83 41
1740706,15 23 66
1446803,82 95 80
1471332,37 88 41
1175987,7 0 24
1512339,97 49 44
1926379,13 42 98
1353499,51 64 80
1735463,57 38 3
1483009,4 71 42
1596300,80 2 65
1540596,91 54 88
1439856,56 83 35
1439904,1 47 39
1516050,97 46 15
1090938,63 1 39
1141130,37 97 24
1943511,33 71 2
1790204,2 98 80
1439030,93 41 83
1631952,51 64 80
1626573,97 24 5
1119185,39 37 0
1130541,98 97 65
1872657,34 65 35
1615544,86 24 65
1376432,38 95 94
1090672,79 71 4
1820000,93 41 83
1883451,0 5 41
1035419,76 73 2
1530474,6 42 2
1338649,44 24 64
1145873,21 37 39
1994492,85 66 35
1957765,43 86 33
1738787,97 0 24
1439396,1 44 0
1075484,82 95 64
1167880,64 51 99
1633194,85 42 35
1192393,97 29 6
1664904,49 55 30
1485671,100 1 31
1671448,7 24 98
1002751,1 44 42
1052743,23 2 93
1397483,2 15 80
1832886,41 83 93
1019875,34 65 1
1645298,7 86 95
1256970,83 67 89
1388978,78 71 73
1686082,9 42 27
1826544,61 40 42
1410666,65 58 97
1479296,57 95 35
1868200,83 41 89
1423132,70 5 48
1076090,85 42 12
1830404,79 71 2
1487193,2 0 46
1164330,97 46 83
1220063,91 88 41
1195546,33 0 40
1283732,42 66 44
1366093,49 97 76
1581366,88 51 41
1988124,83 93 41
1174470,74 76 98
1698208,1 31 66
1671232,25 97 26
1819597,88 89 95
1306790,21 55 15
1233550,91 54 86
1266234,57 56 3
1946349,57 88 83
1849977,9 36 41
1060520,65 80 83
1212214,34 57 38
1871458,83 35 89
1259207,83 35 56
1345801,65 41 57
1444749,65 58 59
1514365,100 83 1
1867447,46 42 43
1873467,74 24 41
1125707,86 73 98
1112013,10 41 97
1186462,41 83 5
1100246,9 36 48
1767073,53 41 65
1661910,81 44 63
1745317,83 41 35
1270239,93 83 41
1418126,83 41 26
1990921,45 37 39
1923470,53 54 83
1235272,2 0 41
1287799,82 95 51
1370345,15 48 35
1221204,22 39 63
1184044,44 0 102
1935104,15 47 39
1944255,24 41 99
1528703,66 31 1
1817551,86 5 24
1307763,63 39 1
1436248,93 57 83
1762615,51 64 82
1759917,85 42 50
1192806,46 30 97
1833919,83 35 67
1065622,98 24 86
1151459,93 83 41
1978233,39 93 31
1622337,94 95 98
1611644,1 44 66
1312929,39 37 93
1174109,42 61 0
1842104,3 88 41
1378165,102 44 24
1301136,36 9 11
1967775,32 30 47
1610915,59 65 58
1699960,81 94 1
1781692,93 41 83
1481493,79 73 30
1774991,37 39 86
1395838,48 98 36
1435710,55 12 1
1327342,82 64 41
1953580,1 35 83
1790251,100 23 45
1322995,41 83 57
1191887,86 37 89
1848606,23 2 93
1953514,34 96 35
1866552,81 31 22
1459209,80 1 2
1606684,80 2 23
1226369,68 30 49
1240355,83 56 41
1014627,20 19 40
1652124,94 102 88
1455934,11 60 9
1339529,53 83 41
1476361,17 83 80
1522957,37 39 57
1504912,30 55 27
1021102,8 97 37
1558444,34 44 35
1464771,1 0 31
1350859,75 2 65
1640511,81 80 44
1444414,30 49 97
1478910,74 24 5
1472456,85 35 83
1662648,4 40 72
1477957,23 2 5
1297538,32 30 9
1936489,0 2 5
1515473,17 46 15
1924339,42 1 2
1656739,37 39 3
1278419,56 57 3
1144327,0 5 2
1836335,49 5 86
1569246,93 41 83
1119652,98 24 5
1728486,6 86 83
1804976,30 97 42
1738257,62 83 56
1832246,17 21 19
1136615,65 58 59
1403828,42 94 83
1959594,2 0 6
1745767,86 5 98
1934489,45 39 83
1311583,15 9 16
1585062,0 98 2
1626779,18 47 71
1900284,94 44 41
1170961,94 31 1
1624706,81 42 23
1329407,93 83 66
1288151,18 17 78
1016320,94 41 95
1540479,66 31 16
1985710,7 46 30
1896455,98 9 97
1136582,7 24 86
1733703,32 30 55
1222008,40 12 48
1437323,49 76 98
1045234,82 83 80
1468436,98 0 67
1300433,67 24 41
1377916,32 30 9
1610529,32 30 63
1004901,40 2 42
1986277,50 12 15
1373777,88 41 35
1383798,58 65 24
1315532,93 83 88
1456181,91 54 37
1663324,102 23 0
1654264,86 74 65
1120878,0 86 74
1019014,65 58 67
1671487,75 0 12
1822225,75 73 9
1841122,41 24 83
1580662,33 42 46
1010639,41 5 24
1838324,58 65 67
1977593,4 71 76
1674668,86 97 24
1005818,21 20 50
1948263,57 0 2
1402408,46 43 40
1541020,102 83 99
1666297,59 65 79
1015409,86 7 24
1178566,93 83 44
1638086,83 56 41
1190192,100 39 42
1775431,51 64 82
1682841,70 49 15
1167125,75 15 42
1094375,3 57 38
1697296,65 58 67
1186331,5 24 41
1282397,42 3 83
1724372,51 64 95
1642885,70 43 40
1927880,34 57 39
1884669,78 73 35
1358185,93 41 83
1250124,58 65 99
1088469,44 2 0
1367150,64 83 89
1873224,85 54 47
1247872,41 0 82
1554043,46 41 98
1313583,56 41 24
1958963,99 64 51
1943936,46 43 40
1533549,29 2 73
1806677,59 65 58
1277264,70 22 48
1272119,39 1 31
1605510,68 2 98
1351691,20 42 2
1762941,8 97 74
1885755,21 39 17
1915809,50 42 12
1934229,65 46 42
1172397,41 93 24
1731954,96 88 94
1784590,91 88 54
1987114,44 66 31
1880352,88 89 37
1829825,18 81 19
1558539,41 83 53
1605643,2 0 95
1971285,19 15 20
1129815,58 65 67
1428049,2 50 15
1050318,53 0 41
1216355,63 39 1
1531835,91 83 88
1483816,29 9 46
1989555,100 42 83
1491140,2 80 0
1688755,66 44 83
1337286,72 33 2
1825716,82 95 80
1318886,40 97 2
1145015,102 2 24
1459405,12 42 36
1725802,20 21 40
1329041,73 2 42
1726683,3 83 56
1161099,23 5 3
1281891,85 42 15
1610808,41 24 44
1636265,12 42 46
1083339,76 2 73
1997293,52 1 96
1788180,41 24 5
1930068,9 2 46
1699074,36 43 46
1204248,20 5 97
1882797,49 2 47
1231346,15 63 2
1588007,34 44 1
1909285,1 44 31
1601599,0 2 67
1613272,67 65 24
1639154,35 83 34
1500839,37 74 88
1525849,48 42 36
1099699,55 30 97
1873753,12 42 36
1215285,41 93 24
1518983,51 64 80
1975072,79 75 73
1468051,88 89 91
1804139,35 83 41
1788503,27 9 98
1377484,39 83 45
1640811,21 20 3
1740167,91 93 65
1056440,76 2 73
1148760,25 26 76
1418538,26 25 55
1175634,10 0 41
1776488,0 2 47
1090549,35 83 41
1308980,86 44 7
1842932,78 75 15
1009857,65 97 88
1074425,7 86 74
1932885,93 41 56
1515030,59 97 41
1520068,68 30 46
1736385,9 46 2
1786955,86 97 24
1719298,42 12 2
1913788,41 83 35
1336764,27 71 2
1985067,24 88 41
1528801,47 2 24
1072738,57 56 3
1739787,31 42 1
1889446,50 42 1
1348874,59 65 58
1462387,41 54 101
1006749,25 26 63
1474658,2 80 40
1770230,30 47 32
1984531,10 46 2
1620805,86 5 24
1347021,88 39 3
1025733,57 3 88
1835774,25 76 26
1325495,30 49 55
1845195,30 49 97
1758046,35 83 42
1188496,65 58 97
1808806,34 42 83
1711016,73 35 40
1288835,30 68 40
1567057,82 95 94
1901147,79 40 33
1767972,12 42 50
1569125,36 11 9
1799948,53 54 89
1613809,86 24 7
1800344,3 41 83
1730311,42 35 12
1643170,4 46 40
1399286,100 45 34
1900509,4 71 85
1567816,8 97 37
1176379,30 46 2
1641034,40 42 33
1241414,73 79 35
1717583,42 12 33
1349806,41 89 83
1185166,38 2 67
1036853,58 65 67
1312943,8 65 58
1214360,86 65 58
1903854,26 49 25
1810357,49 2 97
1349128,18 19 15
1529553,97 43 98
1050462,99 51 64
1327744,75 9 73
1543591,34 1 42
1162035,96 44 80
1661721,5 0 41
1904187,54 91 65
1981604,1 66 93
1796436,98 24 97
1249123,35 83 41
1224828,7 46 6
1694229,33 2 65
1793710,3 97 65
1330218,41 24 39
1551411,2 67 83
1165682,56 88 83
1862079,42 40 30
1839069,88 0 80
1333089,16 42 1
1563216,15 48 2
1331899,97 75 22
1626943,80 95 41
1408756,76 73 5
1753028,93 83 67
1624597,41 83 95
1461220,64 94 24
1121244,93 83 66
1317194,57 83 35
1842925,85 83 42
1137958,35 83 34
1370680,49 30 97
1659976,72 33 7
1619686,93 41 83
1778739,97 86 65
1948286,24 41 83
1609092,65 58 3
1975618,20 15 83
1539650,48 12 68
1901656,42 51 64
1386399,2 0 67
1852352,66 81 1
1138449,64 51 80
1373969,8 97 67
1938483,30 97 60
1213439,0 86 98
1146577,47 63 75
1154990,12 42 10
1611748,61 42 40
1068603,2 47 46
1500121,58 65 41
1877926,83 35 41
1151461,3 35 51
1828317,24 26 5
1498388,9 46 86
1372993,12 15 42
1335261,56 88 57
1379866,83 57 41
1982575,15 36 50
1317496,34 66 1
1470862,1 97 30
1020512,49 86 68
1470477,66 44 83
1454131,37 24 57
1134937,9 15 97
1372736,94 95 82
1831306,83 35 56
1230635,18 71 73
1707718,86 98 2
1843991,88 3 89
1955191,96 80 57
1958292,86 65 98
1345518,93 41 83
1212740,57 56 3
1006697,58 65 3
1194853,47 97 55
1214814,51 95 82
1397073,38 41 83
1027186,81 66 100
1867938,98 86 24
1640988,83 2 80
1845214,35 83 57
1380280,102 83 3
1973244,34 42 66
1018739,65 58 24
1727939,42 86 88
1007674,38 3 42
1211601,82 95 64
1747757,88 57 62
1190548,2 80 83
1254242,18 99 94
1263432,53 54 41
1744094,70 5 4
1669339,97 46 2
1803461,74 24 5
1814894,75 9 22
1610981,8 50 15
1335167,66 31 44
1657713,51 64 82
1344168,39 37 22
1071940,48 15 2
1991028,95 80 101
1230908,61 40 23
1313478,94 99 95
1038780,40 42 46
1616520,27 80 2
1783935,65 58 62
1014671,36 98 43
1438715,61 40 42
1240735,6 2 15
1215417,10 42 65
1765413,42 12 85
1496235,87 92 101
1390737,33 98 30
1550802,17 80 15
1188542,57 93 38
1277098,45 83 39
1162836,88 54 89
1621196,1 31 83
1734640,49 4 5
1123644,32 30 47
1304074,93 41 89
1608983,88 40 89
1930738,102 3 23
1994194,0 2 67
1590666,26 25 28
1699723,83 35 56
1844837,94 83 80
1691674,31 1 66
1876819,31 1 66
1747065,43 52 65
1466420,41 53 54
1437831,23 2 15
1739071,93 83 35
1024347,93 83 35
1004288,46 24 65
1674043,41 3 83
1159024,62 40 41
1585549,49 38 97
1975035,37 24 86
1593125,61 40 9
1870368,15 48 14
1332799,83 35 67
1323803,42 12 40
1071073,60 67 2
1451689,67 65 2
1184145,87 92 99
1151531,25 76 97
1807268,15 74 9
1693951,81 80 1
1229550,83 41 35
1704469,36 43 42
1146687,97 40 46
1063190,91 54 2
1706584,66 83 3
1341632,59 65 2
1696346,1 31 44
1115934,38 39 24
1488950,96 35 83
1332198,49 39 41
1767548,38 2 5
1295152,8 97 98
1371830,51 64 82
1857569,6 68 2
1600362,69 3 64
1071029,25 43 76
1748354,44 34 35
1530507,43 98 2
1550400,83 35 93
1658632,98 86 97
1059864,93 41 83
1026582,24 41 5
1723839,23 42 83
1195869,5 15 6
1154140,34 42 97
1977114,83 35 62
1387633,94 82 95
1584815,63 2 0
1246326,2 82 80
1032770,78 3 74
1061792,88 89 54
1821208,48 12 15
1540164,66 34 42
1419877,89 88 41
1668364,22 39 80
1035463,24 65 5
1986899,62 88 56
1785678,1 31 66
1478938,94 44 95
1987098,9 27 75
1846494,101 92 87
1672173,78 76 97
1329884,86 5 76
1639030,58 65 67
1312800,66 93 34
1287784,39 4 97
1596840,58 65 83
1469935,65 58 3
1342268,94 65 0
1632626,56 57 41
1069117,56 57 3
1049042,2 46 0
1110413,4 71 86
